word,examples,word_audio,word_search,word_translation,example_translation
ähnlich,"['Emilia ist in einer ganz ähnlichen Situation wie ich.', 'Oleg sieht seinem Bruder sehr ähnlich.']",ähnlich,ähnlich,['подобен'],"['Емилия е в много сходна ситуация с мен.', 'Олег много прилича на брат си.']"
"die Ahnung, -en","['Ich hatte keine Ahnung, dass du heute Geburtstag hast.']",die Ahnung,Ahnung,['Предчувствие'],"['Нямах представа, че днес имаш рожден ден.']"
"die Aktion, -en",['Die Stadt sollte eine Aktion für Familien planen.'],die Aktion,Aktion,['Действие'],['Градът трябва да планира кампания за семействата.']
aktiv,['Ich bin sehr aktiv und mache viel Sport.'],aktiv,aktiv,['активен'],['Аз съм много активен и спортувам много.']
"die Aktivität, -en",['In den Ferien bietet die Stadt für Kinder verschiedene Freizeitaktivitäten.'],die Aktivität,Aktivität,['Дейност'],['По време на празниците градът предлага различни развлекателни дейности за деца.']
aktuell,['Umweltschutz ist ein aktuelles Thema.'],aktuell,aktuell,['текущо'],['Опазването на околната среда е актуален въпрос.']
"akzeptieren, akzeptiert, akzeptierte, hat akzeptiert",['Ich kann diese Bedingungen nicht akzeptieren.'],akzeptieren,akzeptieren,['приемете'],['Не мога да приема тези условия.']
"der Alarm, -e",['Bei Feueralarm dürfen Sie die Aufzüge nicht benutzen.'],der Alarm,Alarm,['Аларма'],"['Ако се включи противопожарната аларма, не трябва да използвате асансьорите.']"
"der Alkohol, -e","['Du musst die Wunde mit Alkohol reinigen.', 'Nein, danke! Ich trinke keinen Alkohol.']",der Alkohol,Alkohol,['Алкохол'],"['Трябва да почистите раната със спирт.', 'Не, благодаря ви! Не пия алкохол.']"
all-,"['Sind alle Kinder da?', 'Sonst noch (et)was? – Nein, danke. Das ist alles.', 'Alles Gute!']",all-,all-,['всички -'],"['Всички деца ли са там?', 'Още нещо? - Не, благодаря ви. Това е всичко.', 'Всичко най-добро!']"
allein,"['Ich gehe nicht gern allein spazieren.', 'Soll ich Ihnen helfen? – Danke, ich schaffe es schon allein.', 'Es war sehr teuer. Allein das Essen hat schon über 50 Euro gekostet.']",allein,allein,['самостоятелно'],"['Не обичам да ходя сам.', 'Да ви помогна ли? - Благодаря ви, мога да се справя сам.', 'Беше много скъпо. Само храната струваше над 50 евро.']"
aller-,"['Am allerbesten ist es, wenn du dich ins Bett legst und lange schläfst. Dann wirst du schnell wieder gesund.', 'Das ist das Allerschönste, was ich je gesehen habe.']",aller-,aller-,['всички -'],"['Най-доброто нещо, което можете да направите, е да легнете в леглото и да спите дълго време. Тогава ще се възстановите бързо.', 'Това е най-красивото нещо, което някога съм виждала.']"
allerdings,"['Wir können uns morgen treffen, allerdings habe ich erst ab Mittag Zeit.']",allerdings,allerdings,['обаче'],"['Можем да се срещнем утре, но не съм свободен до обяд.']"
allgemein,"['Wir haben nur über allgemeine Probleme gesprochen.', 'Es ist allgemein bekannt, dass man hier gut essen kann.', 'Im Allgemeinen bin ich mit meiner Arbeit sehr zufrieden.']",allgemein,allgemein,['обща информация'],"['Говорихме само за общи проблеми.', 'Всеизвестно е, че тук можете да се храните добре.', 'Като цяло съм много доволен от работата си.']"
der Alltag,"['Das ist mein Alltag: putzen, waschen, kochen.']",der Alltag,Alltag,['Ежедневието'],"['Това е моето ежедневие: чистене, пране, готвене.']"
alltäglich,"['Das alltägliche Leben ist manchmal langweilig.', 'Der Roman erzählt eine ganz alltägliche Geschichte.']",alltäglich,alltäglich,['всеки ден'],"['Ежедневието понякога е скучно.', 'Романът разказва една ежедневна история.']"
"das Alphabet, -e",['Wie viele Buchstaben hat das Alphabet in Ihrer Sprache?'],das Alphabet,Alphabet,['Азбука'],['Колко букви има азбуката на вашия език?']
als,"['Als mein Mann kam, war die Party schon zu Ende.', 'Sie können sich sowohl persönlich als auch im Internet anmelden.', 'Meine Schwester ist älter als ich.', 'Es ist später, als ich dachte.']",als,als,['като'],"['Когато съпругът ми пристигна, партито вече беше приключило.', 'Можете да се регистрирате лично или онлайн.', 'Сестра ми е по-голяма от мен.', 'По-късно, отколкото си мислех.']"
als ob,"['Er tut so, als ob wir nie darüber gesprochen hätten.']",als ob,als ob,['сякаш'],"['Той се държи така, сякаш никога не сме говорили за това.']"
also,"['Also, die Sache ist so: …', 'Irina hat Urlaub. Sie kann uns also helfen.', 'Also wirklich, jetzt reicht es.']",also,also,['така че'],"['И така, ето какво: ..', 'Ирина е в отпуск. Така че тя може да ни помогне.', 'Наистина, това е достатъчно.']"
alt,"['Wie alt sind Sie?', 'Maria ist eine alte Freundin von mir.']",alt,alt,['стар'],"['На колко години сте?', 'Мария е мой стар приятел.']"
"das Alter, -","['Wir sind etwa im gleichen Alter.', 'Alter: 26 Jahre']",das Alter,Alter,['Възраст'],"['Ние сме на една и съща възраст.', 'Възраст: 26 години']"
"das Altenheim, -e → Altersheim",['Die Großeltern unserer Nachbarn sind im Altenheim.'],das Altenheim,Altenheim,['Дом за възрастни хора'],['Бабата и дядото на нашите съседи са в старчески дом.']
"das Altersheim, -e → Altenheim",['Die Großeltern unserer Nachbarn sind im Altersheim.'],das Altersheim,Altersheim,['Дом за пенсионери'],['Бабата и дядото на нашите съседи са в старчески дом.']
alternativ,['Wir brauchen alternative Energien.'],alternativ,alternativ,['алтернативно'],['Нуждаем се от алтернативни енергии.']
"die Alternative, -n",['Auf dieser Strecke ist der Zug eine gute Alternative zum Flugzeug.'],die Alternative,Alternative,['Алтернативен'],['Влакът е добра алтернатива на самолета по този маршрут.']
"die Ampel, -n",['Dort an der Ampel kannst du über die Straße gehen.'],die Ampel,Ampel,['Светофар'],['Там можете да пресечете пътя на светофара.']
"das Amt, ¨-er",['Das Arbeitsamt befindet sich neben dem Busbahnhof.'],das Amt,Amt,['Офис'],['Бюрото по труда се намира в близост до автогарата.']
"sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert",['Bei dem Fest haben wir uns sehr gut amüsiert.'],sich amüsieren,amüsieren,['забавление'],['Изкарахме си страхотно на партито.']
an,"['Am Anfang war alles sehr schwierig.', 'Dann sehen wir uns also am Dienstag.', 'Ich warte am Bahnhof auf dich.', 'Am besten, du gehst zur Information und fragst da.', 'Das Licht war die ganze Nacht an.']",an,an,['на'],"['В началото всичко беше много трудно.', 'Така че ще се видим във вторник.', 'Ще ви чакам на гарата.', 'Най-добре е да отидете в информационния център и да попитате там.', 'Светлината светеше през цялата нощ.']"
"analysieren, analysiert, analysierte, hat analysiert",['Die Politiker analysieren die Situation auf dem Arbeitsmarkt.'],analysieren,analysieren,['анализирайте'],['Политиците анализират ситуацията на пазара на труда.']
"anbieten, bietet an, bot an, hat angeboten",['Darf ich Ihnen etwas zu trinken anbieten?'],anbieten,anbieten,['оферта'],['Мога ли да ви предложа нещо за пиене?']
"der Anbieter, -",['Ist das ein privater Telefonanbieter?'],der Anbieter,Anbieter,['Доставчик'],['Това частен телефонен оператор ли е?']
"das Angebot, -e","['Ich habe in der Zeitung ein paar günstige Wohnungsangebote gelesen.', 'Der Käse ist heute im Angebot.']",das Angebot,Angebot,['Оферта'],"['Прочетох няколко изгодни оферти за апартаменти във вестника.', 'Сиренето се предлага днес.']"
ander-,"['Die anderen sind schon nach Hause gegangen.', 'Bitte nicht alle auf einmal! Einer nach dem anderen.', 'Ich hätte gern ein anderes Auto.', 'Natascha hat unter anderem Chinesisch und Spanisch gelernt.']",ander-,ander-,['други -'],"['Останалите вече са се прибрали у дома.', 'Не наведнъж, моля! Един след друг.', 'Бих искал друг автомобил.', 'Наташа е научила китайски и испански, както и други езици.']"
andererseits,"['Tarek möchte zwar studieren, aber andererseits möchte er auch gleich Geld verdienen.']",andererseits,andererseits,['от друга страна'],"['Тарек иска да учи, но също така иска да печели пари веднага.']"
"ändern, ändert, änderte, hat geändert","['Das Wetter hat sich geändert.', 'Ich habe meine Meinung inzwischen geändert.']",ändern,ändern,"['променям', 'сменям']","['Времето се е променило.', 'Оттогава промених мнението си.']"
"die Änderung, -en",['Es gibt eine Programmänderung.'],die Änderung,Änderung,['Изменение'],['В програмата е направена промяна.']
anders,"['Anders geht das leider nicht.', 'Oliver ist anders als seine Freunde.', 'Ich würde das anders machen.']",anders,anders,['различни'],"['За съжаление няма друг начин.', 'Оливър е различен от приятелите си.', 'Бих го направил по различен начин.']"
"anerkennen, erkennt an, erkannte an, hat anerkannt",['Meine Ausbildung wird hier nicht anerkannt.'],anerkennen,anerkennen,['разпознаване на'],['Обучението ми не се признава тук.']
"anfangen, fängt an, fing an, hat angefangen","['Wann fängst du mit der Arbeit an?', 'Hier fängt die Bahnhofstraße an.']",anfangen,anfangen,['начало'],"['Кога ще започнете работа?', 'Оттук започва улица Bahnhofstrasse.']"
"der Anfang, ¨-e","['Wie war der Film? – Ich habe nur den Anfang gesehen.', 'Am Anfang habe ich bei der Arbeit viele Fragen gestellt.', 'Mein Chef ist Anfang fünfzig.', 'Meine Mutter war von Anfang an dagegen, dass ich nach Berlin ziehe.', 'Wir machen Anfang Juli Ferien.', 'Meine Freundin wohnt am Anfang der Straße.']",der Anfang,Anfang,['Начало'],"['Какъв беше филмът? - Виждал съм само началото.', 'В началото задавах много въпроси в работата си.', 'Шефът ми е в началото на петдесетте си години.', 'Майка ми беше против да се преместя в Берлин още от самото начало.', 'Отиваме на почивка в началото на юли.', 'Приятелката ми живее в началото на улицата.']"
anfangs,['Anfangs ging alles gut.'],anfangs,anfangs,['първоначално'],['Отначало всичко вървеше добре.']
"angeben, gibt an, gab an, hat angegeben",['Bitte geben Sie Ihre genaue Adresse an.'],angeben,angeben,['посочете'],"['Моля, въведете точния си адрес.']"
"die Angabe,-n","['Wir brauchen von Ihnen folgende Angaben: Name, Adresse, Geburtsdatum.']",die Angabe,Angabe,['Спецификация'],"['Нуждаем се от следната информация от вас: име, адрес, дата на раждане.']"
"der Angehörige, -n die Angehörige, -n",['Der Arzt darf nur Familienangehörigen Auskunft geben.'],"der Angehörige, die Angehörige",Angehörige,['Роднини'],['Лекарят може да дава информация само на членовете на семейството.']
angenehm,['Wir wünschen Ihnen eine angenehme Reise.'],angenehm,angenehm,['приятен'],['Пожелаваме ви приятно пътуване.']
"die Angst, “-e","['Du brauchst keine Angst zu haben. Der Hund tut dir nichts.', 'Ich habe Angst, vielleicht ist etwas passiert.']",die Angst,Angst,['Страх'],"['Не е нужно да се страхувате. Кучето няма да ви нарани.', 'Страхувам се, може би нещо се е случило.']"
ängstlich,['Meine Mutter ist etwas ängstlich. Sie geht nicht gern allein auf die Straße.'],ängstlich,ängstlich,['страхлив'],['Майка ми е малко страхлива. Тя не обича да излиза сама на улицата.']
"anhaben, hat an, hatte an, hat angehabt",['Gestern hatte Julia ein rotes Kleid an.'],anhaben,anhaben,['износване'],['Вчера Джулия носеше червена рокля.']
"anklicken, klickt an, klickte an, hat angeklickt",['Du musst das Bild anklicken. Dann wird es größer.'],anklicken,anklicken,['кликнете върху'],['Трябва да кликнете върху снимката. След това става по-голяма.']
"ankommen, kommt an, kam an, ist angekommen","['Wann kommt der Zug in Hamburg an?', 'Bei dem Spiel kommt es darauf an, schneller zu laufen als die anderen.']",ankommen,ankommen,['пристигнете на адрес'],"['Кога пристига влакът в Хамбург?', 'Целта на играта е да бягате по-бързо от останалите.']"
die Ankunft,"['Die Abfahrt ist um 0.55 Uhr, die Ankunft um 8.07 Uhr.', 'Gleich nach der Ankunft habe ich meine Eltern angerufen.']",die Ankunft,Ankunft,['Пристигане'],"['Отпътуването е в 0.55 ч., а пристигането - в 8.07 ч.', 'Обадих се на родителите си веднага след като пристигнах.']"
"ankündigen, kündigt an, kündigte an, hat angekündigt",['Wir sollten unseren Besuch ankündigen.'],ankündigen,ankündigen,['обяви'],['Трябва да обявим посещението си.']
"die Anlage, -n","['Meine Musikanlage ist kaputt.', 'In der Anlage der E-Mail finden Sie meinen Lebenslauf.']",die Anlage,Anlage,['Приложение'],"['Музикалната ми система е повредена.', 'Моля, намерете моята автобиография, приложена към имейла.']"
"die Anleitung, -en","['In der Anleitung steht, dass bei diesem Spiel der Älteste beginnt.']",die Anleitung,Anleitung,['Инструкции'],"['В инструкциите се казва, че в тази игра започва най-възрастният играч.']"
"anmelden, meldet an, meldete an, hat angemeldet",['Für diesen Kurs müssen Sie sich unbedingt vorher anmelden.'],anmelden,anmelden,['регистър'],['Трябва да се регистрирате за този курс предварително.']
"die Anmeldung, -en","['Wo bekomme ich die Formulare für die Anmeldung?', 'Die Anmeldung ist im Erdgeschoss, Zimmer 55.']",die Anmeldung,Anmeldung,['Регистрация'],"['Къде мога да получа формулярите за регистрация?', 'Регистрацията е на партера, стая 55.']"
"annehmen, nimmt an, nahm an, hat angenommen","['Ich nehme Ihre Einladung gern an.', 'Ich nehme an, dass Sie mit dem Vorschlag einverstanden sind.']",annehmen,annehmen,['приемане на'],"['С удоволствие приемам поканата ви.', 'Предполагам, че сте съгласни с предложението.']"
"die Annonce, -n","['Ich habe alle Annoncen gelesen, aber die Wohnungen sind zu teuer.']",die Annonce,Annonce,['Реклама'],"['Прочетох всички обяви, но апартаментите са твърде скъпи.']"
"die Anrede, -n",['Du darfst im Brief die Anrede nicht vergessen.'],die Anrede,Anrede,['Поздрав'],['Не трябва да забравяте поздрава в писмото.']
"anrufen, ruft an, rief an, hat angerufen",['Ich rufe Sie heute Abend an.'],anrufen,anrufen,['обадете се на'],['Ще ви се обадя тази вечер.']
"der Anruf, -e",['Ich warte auf einen Anruf aus Berlin.'],der Anruf,Anruf,['Обадете се на'],['Чакам обаждане от Берлин.']
"der Anrufbeantworter, -",['Ich habe dir eine Nachricht auf den Anrufbeantworter gesprochen.'],der Anrufbeantworter,Anrufbeantworter,['Телефонна секретарка'],['Оставих ви съобщение на телефонния секретар.']
"die Ansage, -n",['Achten Sie auf die Ansage am Bahnsteig.'],die Ansage,Ansage,['Обявление'],['Обърнете внимание на съобщението в платформата.']
"anschaffen, schafft an, schaffte an, hat angeschafft",['Wir haben uns neue Möbel angeschafft.'],anschaffen,anschaffen,['придобиване на'],['Купихме нови мебели.']
"anschließen, schließt an, schloss an, hat angeschlossen",['Wo kann ich den Computer anschließen?'],anschließen,anschließen,['свържете'],['Къде мога да свържа компютъра?']
"der Anschluss, ¨-e","['In Mannheim haben Sie Anschluss nach Saarbrücken.', 'Ich brauche in meiner Wohnung einen Telefonanschluss.']",der Anschluss,Anschluss,['Връзка'],"['В Манхайм има връзка със Саарбрюкен.', 'Имам нужда от телефонна връзка в апартамента си.']"
"anschnallen, schnallt an, schnallte an, hat angeschnallt","['Vergiss nicht, dich anzuschnallen.']",anschnallen,anschnallen,['закопчаване на коланите'],['Не забравяйте да поставите предпазния си колан.']
"ansehen, sieht an, sah an, hat angesehen","['Warum siehst du mich so erschrocken an?', 'Darf ich eure Urlaubsfotos ansehen?']",ansehen,ansehen,['вижте'],"['Защо ме гледаш толкова уплашено?', 'Мога ли да разгледам снимките ви от ваканцията?']"
"ansprechen, spricht an, sprach an, hat angesprochen",['Gestern hat mich unsere neue Nachbarin im Treppenhaus angesprochen.'],ansprechen,ansprechen,['заприказвам'],['Вчера новата ни съседка ме заприказа на стълбището.']
"der Anspruch, ¨-e",['Sie wohnen im Stadtzentrum. Deshalb haben Sie keinen Anspruch auf Fahrgeld.'],der Anspruch,Anspruch,['Иск'],['Живеете в центъра на града. Поради това нямате право на такса.']
"anstellen, stellt an, stellte an, hat angestellt","['Können Sie bitte die Heizung anstellen?', 'Mein Schwager ist bei einer Möbelfirma angestellt.', 'Da vorne ist die Kasse. Du musst dich anstellen.']",anstellen,anstellen,['наемане на'],"['Можете ли да включите отоплението?', 'Зет ми работи в мебелна компания.', 'Отпред има каса. Трябва да се наредите на опашка.']"
"der Angestellte, -n die Angestellte, -n",['Björn ist Angestellter in einem Reisebüro.'],"der Angestellte, die Angestellte",Angestellte,['Служители'],['Бьорн работи в туристическа агенция.']
"sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt","['Diese Arbeit strengt mich sehr an.', 'Wenn du die Prüfung schaffen willst, musst du dich mehr anstrengen.']",sich anstrengen,anstrengen,['полагайте усилия'],"['Тази работа е много натоварваща за мен.', 'Ако искате да издържите изпита, трябва да се потрудите повече.']"
anstrengend,['Ich finde diese Arbeit sehr anstrengend.'],anstrengend,anstrengend,['изтощителен'],['Намирам тази работа за много напрегната.']
"der Antrag, ¨-e",['Haben Sie schon einen Antrag für das Wohngeld ausgefüllt?'],der Antrag,Antrag,['Приложение'],['Попълнили ли сте вече молба за жилищни помощи?']
"anwenden, wendet an, wandte an, hat angewandt/angewendet",['Diese Salbe muss man dreimal am Tag anwenden.'],anwenden,anwenden,['прилагайте'],['Този мехлем трябва да се прилага три пъти дневно.']
anwesend,['Bei dem Treffen waren alle Mitglieder anwesend.'],anwesend,anwesend,['настояще'],['Всички членове присъстваха на срещата.']
"antworten, antwortet, antwortete, hat geantwortet",['Jorge hat seit drei Wochen nicht auf meinen Brief geantwortet.'],antworten,antworten,['отговор'],['Хорхе не е отговорил на писмото ми от три седмици.']
"die Antwort, -en",['Leider habe ich keine Antwort bekommen.'],die Antwort,Antwort,['Отговор'],['За съжаление не получих отговор.']
"der Anwalt, ¨-e die Anwältin, -nen",['Ich werde das nicht bezahlen. Ich möchte zuerst mit meinem Anwalt sprechen.'],"der Anwalt, die Anwältin",Anwalt,['Адвокат'],['Няма да платя за това. Искам първо да говоря с адвоката си.']
"anzeigen, zeigt an, zeigte an, hat angezeigt","['Wenn Sie hier parken, zeige ich Sie an.']",anzeigen,anzeigen,['покажи'],"['Ако паркирате тук, ще ви докладвам.']"
"die Anzeige, -n","['Ich habe alle Anzeigen gelesen, aber die Wohnungen sind zu teuer.', 'Hier dürfen Sie nicht parken, sonst bekommen Sie eine Anzeige.']",die Anzeige,Anzeige,['Дисплей'],"['Прочетох всички обяви, но апартаментите са твърде скъпи.', 'Не ви е позволено да паркирате тук, защото в противен случай ще бъдете докладвани на полицията.']"
"(sich) anziehen, zieht an, zog an, hat angezogen","['Du musst dich wärmer anziehen, sonst erkältest du dich.', 'Heute ziehe ich mein neues T-Shirt an.']",sich anziehen,anziehen,['рокля'],"['Трябва да се обличате по-топло, иначе ще се простудите.', 'Днес обличам новата си тениска.']"
"der Anzug, ¨-e",['Mein Mann hat sich einen neuen Anzug gekauft.'],der Anzug,Anzug,['Костюм'],['Съпругът ми си е купил нов костюм.']
"das Apartment, -s",['Wir haben ein Ferienapartment gemietet.'],das Apartment,Apartment,['Плосък'],['Наехме ваканционен апартамент.']
"der Apfel, ¨-",['Zum Frühstück esse ich jeden Tag einen Apfel.'],der Apfel,Apfel,['Apple'],['Всеки ден ям по една ябълка на закуска.']
"die Apotheke, -n",['Ist hier in der Nähe eine Apotheke?'],die Apotheke,Apotheke,['Аптека'],['Има ли аптека наблизо?']
"der Apparat, -e","['Können Sie den Apparat bitte etwas leiser stellen?', 'Wo ist mein Fotoapparat?']",der Apparat,Apparat,['Апаратура'],"['Можете ли да намалите малко звука?', 'Къде е фотоапаратът ми?']"
der Appetit,"['Ich habe heute keinen Appetit. Ich mag nichts essen.', 'Auf was hast du Appetit? Vielleicht auf einen Salat?', 'Guten Appetit!']",der Appetit,Appetit,['Апетит'],"['Днес нямам апетит. Не обичам да ям нищо.', 'За какво имате апетит? Може би за салата?', 'Наслаждавайте се на храната си!']"
"die Aprikose, -n (D, CH) → A: Marille",['Schmecken dir die Aprikosen?'],die Aprikose,Aprikose,['Кайсия'],['Харесват ли ви кайсиите?']
"arbeiten, arbeitet, arbeitete, hat gearbeitet","['Er arbeitet heute bis 16 Uhr.', 'Arzu arbeitet als Krankenschwester im Krankenhaus.']",arbeiten,arbeiten,['работа'],"['Днес той работи до 16:00 ч.', 'Арзу работи като медицинска сестра в болницата.']"
"die Arbeit, -en","['Wie gefällt dir deine Arbeit?', 'Nach der Ausbildung hat Mohamed eine Arbeit gefunden.']",die Arbeit,Arbeit,['Труд'],"['Как харесвате работата си?', 'След като завършва обучението си, Мохамед си намира работа.']"
"der Arbeiter, die Arbeiterin, -nen",['Maria ist seit zwei Jahren Arbeiterin bei Siemens.'],"der Arbeiter, die Arbeiterin",Arbeiter,['Работници'],['Мария работи в Siemens от две години.']
